GO	Term	Aspect	ASPECT	Entry	Original GO	Original Term	Original Aspect
GO:0003677	DNA binding	F	Molecular Function	M7UH44	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1L9SKL1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A395GUJ7	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	G2Q338	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	Q2UK39	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A094CR80	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A397H8V5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A072PU13	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1B8CL40	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0L1J748	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A319EEX2	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	G7XNY0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1E3BU77	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2B7Y9N9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0D1XD28	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A317WAM6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1R3RRS5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A3N4KHV4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2H3I8P5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	K2RBG0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1Y2V2H7	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A229YYE4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0D2B5W0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0F8X0U0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2T3ZPQ9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2G4T5F1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0A2W8D8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	S0DTN3	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A3N4M2P1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2H3FCI4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A066X8T1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A4Z1P510	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A084QRG8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0C9M7G3	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	C9SLT3	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2S6BTL5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A168IW51	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0M9VU97	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2K1XX25	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A4V6ACD8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A369GU71	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2D3VCC5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A063BVL8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	G1X6N5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2S7QFH4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0B2WK37	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A428NGS5	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	I1C0B6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	S8A819	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2P7Z2G0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1V8SNF2	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1X7RUI8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A3M9Y6N4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	F9G7E0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A395N8L0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A370THU6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0F9X7C9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2T4CIW9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2K3QB57	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1E3PYW3	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1C7NKY8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	M2V2V3	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A395ML81	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	U7PU37	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A167XCI6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A068RWS0	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2H5UC38	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	S3CVD1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1V8S8Y9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1V8S9E6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A139HYK1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	Q6C1E2	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	G0REE1	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	S2JG03	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2C6A3D6	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1Z5TTH9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A3N4IL93	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A369HD45	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0F4G6V8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1Z5TCZ4	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	R0KM33	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	W7M9G8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A1E3PU00	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2V1CS94	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A2V1EEY9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A395RRW8	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	I1RSG9	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	G9P870	GO:0043565	sequence-specific DNA binding	F
GO:0003677	DNA binding	F	Molecular Function	A0A0G4N5I6	GO:0043565	sequence-specific DNA binding	F
